brand_id,Product Category,tpt_sep_2025,tpv_sep_2025,tpt_aug_2025,tpv_aug_2025,tpt_jul_2025,tpv_jul_2025,tpt_jun_2025,tpv_jun_2025,tpt_may_2025,tpv_may_2025,tpt_apr_2025,tpv_apr_2025,tpt_mar_2025,tpv_mar_2025,tpt_feb_2025,tpv_feb_2025,tpt_jan_2025,tpv_jan_2025,tpt_dec_2024,tpv_dec_2024,tpt_nov_2024,tpv_nov_2024,tpt_oct_2024,tpv_oct_2024
BRN-0206-1704872272148,PLUGIN,4,"3,796,000",11,"12,889,000",13,"19,284,000",16,"20,284,000",15,"17,463,200",12,"14,795,800",11,"13,191,900",18,"20,977,690",19,"22,861,220",24,"27,338,600",25,"28,574,650",15,"20,865,200"
BRN-0271-1683522457416,PLUGIN,4,"3,698,840",0,0,2,"2,883,000",3,"3,142,000",3,"2,565,040",2,"2,395,000",1,"469,000",1,"1,862,200",2,"1,954,000",6,"5,520,000",2,"1,545,000",3,"1,607,000"
BRN-0264-1692966536057,PLUGIN,4,"10,500,000",32,"90,200,000",1,"2,000,000",1,"2,100,000",2,"7,100,000",1,"5,000,000",0,0,0,0,0,0,1,"8,000,000",0,0,0,0
OCO-0201-1678964501334,PLUGIN,3,"3,938,000",4,"5,410,900",5,"5,130,600",10,"4,254,800",11,"4,479,400",2,"1,321,100",2,"1,400,300",4,"4,208,600",7,"6,100,600",5,"3,949,800",4,"3,425,400",2,"579,600"
BRN-0279-1728244563896,PLUGIN,3,"10,978,332",8,"20,402,757",11,"34,287,866",4,"15,054,641",7,"25,195,253",21,"73,639,757",19,"61,476,647",8,"22,769,639",6,"15,514,799",14,"48,720,096",2,"3,432,305",0,0
BRN-0222-1718953363664,PLUGIN,3,"12,727,000",2,"9,091,000",3,"5,056,000",4,"13,716,000",1,"3,229,000",2,"8,780,000",1,"2,699,000",0,0,2,"3,806,000",2,"2,008,000",1,"949,000",1,"1,579,000"
BRN-0231-1712119053030,PLUGIN,3,"37,000",2,"1,009,000",2,"1,504,000",1,"637,000",1,"244,000",0,0,2,"1,293,000",1,"611,000",4,"4,660,000",1,"1,266,000",2,"1,372,000",1,"1,204,000"
BRN-0299-1696401585903,PLUGIN,3,"27,005,625",1,"4,800,000",0,0,0,0,0,0,3,"18,475,000",4,"33,890,000",14,"157,455,000",16,"106,475,000",7,"49,052,500",8,"79,525,000",8,"45,030,000"
BRN-0218-1738559329266,PLUGIN,3,"780,300",3,"2,149,700",4,"2,322,100",0,0,3,"937,000",0,0,1,"173,390",1,"173,390",0,0,0,0,0,0,0,0
BRN-0268-1739500449073,PLUGIN,3,"1,950,800",2,"467,500",5,"1,979,900",4,"795,700",1,"266,300",2,"763,500",0,0,0,0,0,0,0,0,0,0,0,0
